id_simulacion,longitud_pasos,probabilidad_trayectoria,secuencia_nodos,secuencia_aristas
5592,8,0.00797783933518006,HDB_20 -> HDB_14 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18,HDB_20->HDB_14 | HDB_14->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18
5593,2,0.052631578947368425,HDB_12 -> HDB_20 -> HDB_9,HDB_12->HDB_20 | HDB_20->HDB_9
5594,1,0.5555555555555556,HDB_7 -> HDB_5,HDB_7->HDB_5
5595,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5596,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5597,3,0.25,HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5598,5,0.026814404432132982,HDB_20 -> HDB_13 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_13 | HDB_13->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5599,3,0.23157894736842113,HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5600,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5601,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5602,1,0.5,HDB_18 -> HDB_2,HDB_18->HDB_2
5603,4,0.23157894736842113,HDB_11 -> HDB_20 -> HDB_16 -> HDB_15 -> HDB_4,HDB_11->HDB_20 | HDB_20->HDB_16 | HDB_16->HDB_15 | HDB_15->HDB_4
5604,3,0.08421052631578949,HDB_20 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5605,5,0.04210526315789474,HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5606,2,0.010526315789473606,HDB_20 -> HDB_15 -> HDB_4,HDB_20->HDB_15 | HDB_15->HDB_4
5607,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5608,8,0.02105263157894737,HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18,HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18
5609,2,1.0,HDB_16 -> HDB_15 -> HDB_4,HDB_16->HDB_15 | HDB_15->HDB_4
5610,2,0.0473684210526316,HDB_20 -> HDB_17 -> HDB_9,HDB_20->HDB_17 | HDB_17->HDB_9
5611,8,0.02105263157894737,HDB_13 -> HDB_20 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_13->HDB_20 | HDB_20->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
5612,1,0.08421052631578944,HDB_20 -> HDB_10,HDB_20->HDB_10
5613,5,0.0039473684210526334,HDB_20 -> HDB_17 -> HDB_18 -> HDB_19 -> HDB_18 -> HDB_2,HDB_20->HDB_17 | HDB_17->HDB_18 | HDB_18->HDB_19 | HDB_19->HDB_18 | HDB_18->HDB_2
